tabel,nama_constraint,jenis,definisi
stock_opnames,stock_opnames_pkey,PRIMARY KEY,PRIMARY KEY (id)
stock_opnames,stock_opnames_code_key,UNIQUE,UNIQUE (code)
stock_transfer_items,stock_transfer_items_product_id_fkey,FOREIGN KEY,FOREIGN KEY (product_id) REFERENCES products(id)
stock_transfer_items,stock_transfer_items_transfer_id_fkey,FOREIGN KEY,FOREIGN KEY (transfer_id) REFERENCES stock_transfers(id) ON DELETE CASCADE
stock_transfer_items,stock_transfer_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
stock_transfers,stock_transfers_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
stock_transfers,stock_transfers_dispatched_by_fkey,FOREIGN KEY,FOREIGN KEY (dispatched_by) REFERENCES profiles(id) ON DELETE SET NULL
stock_transfers,stock_transfers_from_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (from_branch_id) REFERENCES branches(id)
stock_transfers,stock_transfers_received_by_fkey,FOREIGN KEY,FOREIGN KEY (received_by) REFERENCES profiles(id) ON DELETE SET NULL
stock_transfers,stock_transfers_to_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (to_branch_id) REFERENCES branches(id)
stock_transfers,stock_transfers_pkey,PRIMARY KEY,PRIMARY KEY (id)
stock_transfers,stock_transfers_code_key,UNIQUE,UNIQUE (code)
store_settings,store_settings_theme_primary_chk,CHECK,CHECK (((theme_primary IS NULL) OR (theme_primary ~ '^#[0-9a-fA-F]{6}$'::text)))
store_settings,store_settings_theme_radius_chk,CHECK,"CHECK ((theme_radius = ANY (ARRAY['sharp'::text, 'md'::text, 'round'::text])))"
store_settings,store_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
suppliers,suppliers_pkey,PRIMARY KEY,PRIMARY KEY (id)
transaction_items,transaction_items_product_id_fkey,FOREIGN KEY,FOREIGN KEY (product_id) REFERENCES products(id) ON DELETE SET NULL
transaction_items,transaction_items_transaction_id_fkey,FOREIGN KEY,FOREIGN KEY (transaction_id) REFERENCES transactions(id) ON DELETE CASCADE
transaction_items,transaction_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
